INFO:root:Корневая папка C:\Users\Zareff\Desktop\Learning\Python\DeepLearning
INFO:root:Добавляем в список Dirsubject(filename='.git', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='.idea', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='.pytest_cache', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='home01.log', extention='.log', dir_flag=False, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='main.py', extention='.py', dir_flag=False, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Readme', extention='', dir_flag=False, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar01', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar02', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar03', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar04', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar05', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar06', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar07', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar08', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar09', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar10', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar11', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar12', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar13', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar14', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='Seminar15', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
INFO:root:Добавляем в список Dirsubject(filename='venv', extention='', dir_flag=True, parent_name=WindowsPath('C:/Users/Zareff/Desktop/Learning/Python/DeepLearning'))
